claim_id,claim,gold,predicted,correct,evidence_sufficient,explanation
275,A study finds a diet heavy with kimchi—spiced fermented cabbage and other vegetables—helps lower South Korea's COVID-19 fatalities.,CONFLICTING_EVIDENCE,CONFLICTING_EVIDENCE,True,True,"Several items report that a French/European study associated diets rich in fermented cabbage, including kimchi, with lower COVID-19 fatality rates in South Korea and other countries. However, the available evidence also shows that this was an observational, data-analysis-based pre-print and frames the result as a possible role or correlation, not a demonstrated causal effect. Thus, the claim has support as a report of a study's hypothesis, but its unqualified assertion that a kimchi-heavy diet helps lower fatalities overstates what the evidence establishes."
961,Michael Bloomberg “did not poll well as mayor in handling crisis!”,CONFLICTING_EVIDENCE,CONFLICTING_EVIDENCE,True,True,"The evidence shows that Bloomberg did poll poorly for some crisis responses, particularly the snowstorm cleanup. However, it also states that voters approved of his handling of other major crises, including Sept. 11 recovery and the 2003 blackout, and explicitly describes the overall crisis-polling record as mixed. Therefore, the claim's categorical framing is misleading: it has support for some incidents but is contradicted as a general statement."
929,"Government of India is monitoring all forms of communications, both online and telephonic.",CONFLICTING_EVIDENCE,SUPPORTED,False,True,"The evidence consistently describes India’s Centralized Monitoring System as giving government or law-enforcement agencies centralized, direct capabilities to intercept and monitor telephone communications and Internet activity. Several items explicitly characterize this capability as covering all phone and Internet communications or all telecom networks in India. Although some sources describe the system as being rolled out, in pilot mode, or planned at the time of publication, the evidence sufficiently supports the claim’s broad assertion that the Government of India monitors online and telephonic communications."
777,Billionaire philanthropist and Microsoft founder Bill Gates worked  specifically to end livestock production.,NOT_ENOUGH_EVIDENCE,REFUTED,False,True,"The evidence consistently shows Gates and the Gates Foundation funding and promoting livestock breeding, health, vaccines, productivity, and livestock-based livelihoods. This directly contradicts the assertion that Gates worked specifically to end livestock production."
770,Half of UK adults are now being paid by the state.,NOT_ENOUGH_EVIDENCE,NOT_ENOUGH_EVIDENCE,True,False,"The evidence does not establish the claim at the adult level. The closest item reports a claim about a majority of households being net recipients of benefits relative to taxes, based on 2010/11 figures, while the claim says that half of UK adults are now being paid by the state. These are materially different measures, and no evidence supplied provides a current, all-adult statistic supporting or refuting the stated claim."
255,"Sanitation coverage is now at 25%, from 16%.",NOT_ENOUGH_EVIDENCE,NOT_ENOUGH_EVIDENCE,True,False,"None of the evidence establishes the claimed entity, timeframe, and like-for-like sanitation-coverage increase from 16% to 25%. Evidence 10 mentions a 25% figure only for urban Ghana, while giving total Ghanaian coverage as 21%, and no evidence ties that figure to a prior 16% value."
233,"BLM injures 1000 police officers, kills36 people and does $8 billion in damage .",REFUTED,NOT_ENOUGH_EVIDENCE,False,False,"The evidence contains reports of individual officer injuries and protest-related property damage, but it does not provide evidence that BLM injured 1,000 police officers, killed 36 people, or caused $8 billion in damage. No supplied source establishes the asserted totals or the claimed causal attribution to BLM. Therefore, the evidence is insufficient to verify or conclusively refute the claim."
349,The CDC may have to stop calling COVID-19 an ‘epidemic’ due to a remarkably low death rate.,REFUTED,REFUTED,True,True,"The claim is refuted by the directly relevant evidence. The CDC definition cited in the evidence is based on an increase in cases above the normally expected level in a population and area, rather than a low or high death rate. The evidence further states that death rates alone do not determine whether COVID-19 remains an epidemic and that the relevant CDC statement still found COVID-19 mortality at the epidemic threshold."
574,"Walmart Tweeted ""We wont be Rebuilding Walmarts in Cities without police""",REFUTED,NOT_ENOUGH_EVIDENCE,False,False,"None of the provided evidence reproduces, attributes, dates, or otherwise verifies the alleged Walmart tweet: “We wont be Rebuilding Walmarts in Cities without police.” Several items discuss Walmart's cooperation with police or security measures, but these facts neither establish nor directly contradict that Walmart posted the specific statement. ამიტომ, the evidence is insufficient to verify the claim."
611,The COVID-19 pandemic has helped bolster the relationship between China and Middle Eastern countries.,SUPPORTED,SUPPORTED,True,True,"The evidence is sufficient to support the claim. Evidence 1 explicitly concludes that China's pandemic response broadened and deepened its regional relations, while Evidence 7 directly describes increased comradeship and partnership. Evidence 4 and Evidence 5 further document concrete pandemic-related assistance and cooperation. Some evidence notes trust challenges, but it does not contradict the documented strengthening of cooperation and relations."
82,Auto workers across Michigan could have lost their jobs if not for Barack Obama and Joe Biden,SUPPORTED,SUPPORTED,True,True,"The evidence consistently describes the auto industry as near collapse during the 2009 crisis, with large numbers of jobs at stake, and portrays the Obama-Biden administration's bailout and rescue actions as saving the industry, auto jobs, and specifically Michigan workers' livelihoods. Although several sources are statements from political figures rather than independent causal analyses, the provided evidence is sufficient to support the limited counterfactual claim that Michigan auto workers could have lost their jobs without Obama and Biden's intervention."
845,Being long term unemployed for a year or over nearly halves your chances of ever getting back into employment.,SUPPORTED,CONFLICTING_EVIDENCE,False,True,"The evidence consistently indicates that longer unemployment is associated with worse hiring or interview prospects, and some evidence shows an approximately halved measure by seven to eight months. However, it does not establish that being unemployed for a year or more nearly halves the chance of ever returning to employment. Moreover, Evidence 5 reports that three-quarters of long-term unemployed people find work within a year and that prospects after 18 months are not much lower than for those unemployed 6 to 18 months. Thus, the evidence supports a duration-related disadvantage but conflicts with the claim's broad and specific framing."
